"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","375","User is navigated to the Home page","Tests","Fri May 30 10:34:40 GMT 2025","passed","Fri May 30 10:34:41 GMT 2025","TestLogin","test_2_Logout","",""
"","1236","User is navigated to the Home page","Tests","Fri May 30 10:34:50 GMT 2025","passed","Fri May 30 10:34:51 GMT 2025","TestLogin","test_2_Logout","",""
"","476","Successful login","Tests","Fri May 30 10:34:49 GMT 2025","passed","Fri May 30 10:34:50 GMT 2025","TestLogin","test_1_Login","",""
"","233","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 10:34:39 GMT 2025","passed","Fri May 30 10:34:39 GMT 2025","TestLogin","test_1_Login","",""
"","1185","User is navigated to the Login page","Tests","Fri May 30 10:34:46 GMT 2025","passed","Fri May 30 10:34:47 GMT 2025","TestLogin","test_1_Login","",""
"","234","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:34:39 GMT 2025","passed","Fri May 30 10:34:39 GMT 2025","TestLogin","test_1_Login","",""
"","245","Successful login","Tests","Fri May 30 10:34:39 GMT 2025","passed","Fri May 30 10:34:40 GMT 2025","TestLogin","test_1_Login","",""
"","534","User is navigated to the Login page","Tests","Fri May 30 10:34:38 GMT 2025","passed","Fri May 30 10:34:38 GMT 2025","TestLogin","test_1_Login","",""
"","620","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:34:47 GMT 2025","passed","Fri May 30 10:34:48 GMT 2025","TestLogin","test_1_Login","",""
"","260","User is successfully logged out","Tests","Fri May 30 10:34:51 GMT 2025","passed","Fri May 30 10:34:52 GMT 2025","TestLogin","test_2_Logout","",""
"","430","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 10:34:49 GMT 2025","passed","Fri May 30 10:34:49 GMT 2025","TestLogin","test_1_Login","",""
"","176","User is successfully logged out","Tests","Fri May 30 10:34:41 GMT 2025","passed","Fri May 30 10:34:41 GMT 2025","TestLogin","test_2_Logout","",""
"","430","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:34:48 GMT 2025","passed","Fri May 30 10:34:49 GMT 2025","TestLogin","test_1_Login","",""
"","467","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:34:38 GMT 2025","passed","Fri May 30 10:34:39 GMT 2025","TestLogin","test_1_Login","",""
"","243","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 10:34:39 GMT 2025","passed","Fri May 30 10:34:39 GMT 2025","TestLogin","test_1_Login","",""
"","438","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 10:34:48 GMT 2025","passed","Fri May 30 10:34:48 GMT 2025","TestLogin","test_1_Login","",""
