"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","227","Unsuccessfully login with username: tomsmith and password: ","Tests","Wed Jun 04 11:47:29 UTC 2025","passed","Wed Jun 04 11:47:30 UTC 2025","TestLogin","test_1_Login","",""
"","232","Unsuccessfully login with username:  and password: SuperSecretPassword!","Tests","Wed Jun 04 11:47:29 UTC 2025","passed","Wed Jun 04 11:47:29 UTC 2025","TestLogin","test_1_Login","",""
"","456","Unsuccessfully login with username: tomsmit and password: SuperSecretPassword!","Tests","Wed Jun 04 11:47:28 UTC 2025","passed","Wed Jun 04 11:47:29 UTC 2025","TestLogin","test_1_Login","",""
"","934","User is navigated to the Login page","Tests","Wed Jun 04 11:47:38 UTC 2025","passed","Wed Jun 04 11:47:39 UTC 2025","TestLogin","test_1_Login","",""
"","479","Unsuccessfully login with username: tomsmit and password: SuperSecretPassword!","Tests","Wed Jun 04 11:47:39 UTC 2025","passed","Wed Jun 04 11:47:39 UTC 2025","TestLogin","test_1_Login","",""
"","282","Unsuccessfully login with username: tomsmith and password: ","Tests","Wed Jun 04 11:47:40 UTC 2025","passed","Wed Jun 04 11:47:40 UTC 2025","TestLogin","test_1_Login","",""
"","0","User is successfully logged out","Tests","Wed Jun 04 11:47:31 UTC 2025","skipped","Wed Jun 04 11:47:31 UTC 2025","TestLogin","test_2_Logout","",""
"","240","Successful login","Tests","Wed Jun 04 11:47:30 UTC 2025","passed","Wed Jun 04 11:47:30 UTC 2025","TestLogin","test_1_Login","",""
"","448","User is navigated to the Home page","Tests","Wed Jun 04 11:47:41 UTC 2025","broken","Wed Jun 04 11:47:41 UTC 2025","TestLogin","test_2_Logout","",""
"","486","User is navigated to the Login page","Tests","Wed Jun 04 11:47:28 UTC 2025","passed","Wed Jun 04 11:47:28 UTC 2025","TestLogin","test_1_Login","",""
"","0","User is successfully logged out","Tests","Wed Jun 04 11:47:41 UTC 2025","skipped","Wed Jun 04 11:47:41 UTC 2025","TestLogin","test_2_Logout","",""
"","278","Unsuccessfully login with username: tomsmith and password: SuperSecretPassword","Tests","Wed Jun 04 11:47:39 UTC 2025","passed","Wed Jun 04 11:47:39 UTC 2025","TestLogin","test_1_Login","",""
"","318","Unsuccessfully login with username:  and password: SuperSecretPassword!","Tests","Wed Jun 04 11:47:39 UTC 2025","passed","Wed Jun 04 11:47:40 UTC 2025","TestLogin","test_1_Login","",""
"","290","Successful login","Tests","Wed Jun 04 11:47:40 UTC 2025","passed","Wed Jun 04 11:47:40 UTC 2025","TestLogin","test_1_Login","",""
"","289","Unsuccessfully login with username: tomsmith and password: SuperSecretPassword","Tests","Wed Jun 04 11:47:29 UTC 2025","passed","Wed Jun 04 11:47:29 UTC 2025","TestLogin","test_1_Login","",""
"","372","User is navigated to the Home page","Tests","Wed Jun 04 11:47:30 UTC 2025","broken","Wed Jun 04 11:47:31 UTC 2025","TestLogin","test_2_Logout","",""
