"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1605","User is navigated to the Login page","Tests","Fri May 30 10:48:13 GMT 2025","passed","Fri May 30 10:48:14 GMT 2025","TestLogin","test_1_Login","",""
"","501","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:48:15 GMT 2025","passed","Fri May 30 10:48:16 GMT 2025","TestLogin","test_1_Login","",""
"","452","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 10:48:16 GMT 2025","passed","Fri May 30 10:48:16 GMT 2025","TestLogin","test_1_Login","",""
"","455","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 10:48:15 GMT 2025","passed","Fri May 30 10:48:15 GMT 2025","TestLogin","test_1_Login","",""
"","655","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:48:14 GMT 2025","passed","Fri May 30 10:48:15 GMT 2025","TestLogin","test_1_Login","",""
"","602","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:47:59 GMT 2025","passed","Fri May 30 10:47:59 GMT 2025","TestLogin","test_1_Login","",""
"","254","Successful login","Tests","Fri May 30 10:48:00 GMT 2025","passed","Fri May 30 10:48:01 GMT 2025","TestLogin","test_1_Login","",""
"","247","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:48:00 GMT 2025","passed","Fri May 30 10:48:00 GMT 2025","TestLogin","test_1_Login","",""
"","235","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 10:48:00 GMT 2025","passed","Fri May 30 10:48:00 GMT 2025","TestLogin","test_1_Login","",""
"","475","Successful login","Tests","Fri May 30 10:48:16 GMT 2025","passed","Fri May 30 10:48:17 GMT 2025","TestLogin","test_1_Login","",""
"","0","User is successfully logged out","Tests","Fri May 30 10:48:01 GMT 2025","skipped","Fri May 30 10:48:01 GMT 2025","TestLogin","test_2_Logout","",""
"","315","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 10:47:59 GMT 2025","passed","Fri May 30 10:48:00 GMT 2025","TestLogin","test_1_Login","",""
"","368","User is navigated to the Home page","Tests","Fri May 30 10:48:01 GMT 2025","broken","Fri May 30 10:48:01 GMT 2025","TestLogin","test_2_Logout","",""
"","1248","User is navigated to the Home page","Tests","Fri May 30 10:48:17 GMT 2025","broken","Fri May 30 10:48:19 GMT 2025","TestLogin","test_2_Logout","",""
"","805","User is navigated to the Login page","Tests","Fri May 30 10:47:58 GMT 2025","passed","Fri May 30 10:47:59 GMT 2025","TestLogin","test_1_Login","",""
"","0","User is successfully logged out","Tests","Fri May 30 10:48:19 GMT 2025","skipped","Fri May 30 10:48:19 GMT 2025","TestLogin","test_2_Logout","",""
