"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 14:01:53 UTC 2025","passed","Fri May 30 14:01:53 UTC 2025","TestLogin","test_1_Login","",""
"","311","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 14:02:18 UTC 2025","passed","Fri May 30 14:02:18 UTC 2025","TestLogin","test_1_Login","",""
"","397","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 14:01:52 UTC 2025","passed","Fri May 30 14:01:53 UTC 2025","TestLogin","test_1_Login","",""
"","177","User is successfully logged out","Tests","Fri May 30 14:02:20 UTC 2025","passed","Fri May 30 14:02:21 UTC 2025","TestLogin","test_2_Logout","",""
"","645","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 14:02:17 UTC 2025","passed","Fri May 30 14:02:18 UTC 2025","TestLogin","test_1_Login","",""
"","556","User is navigated to the Home page","Tests","Fri May 30 14:01:54 UTC 2025","passed","Fri May 30 14:01:55 UTC 2025","TestLogin","test_2_Logout","",""
"","317","Successful login","Tests","Fri May 30 14:02:19 UTC 2025","passed","Fri May 30 14:02:19 UTC 2025","TestLogin","test_1_Login","",""
"","276","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 14:01:53 UTC 2025","passed","Fri May 30 14:01:54 UTC 2025","TestLogin","test_1_Login","",""
"","269","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 14:01:53 UTC 2025","passed","Fri May 30 14:01:53 UTC 2025","TestLogin","test_1_Login","",""
"","314","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 14:02:19 UTC 2025","passed","Fri May 30 14:02:19 UTC 2025","TestLogin","test_1_Login","",""
"","180","User is successfully logged out","Tests","Fri May 30 14:01:55 UTC 2025","passed","Fri May 30 14:01:55 UTC 2025","TestLogin","test_2_Logout","",""
"","370","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 14:02:18 UTC 2025","passed","Fri May 30 14:02:19 UTC 2025","TestLogin","test_1_Login","",""
"","531","User is navigated to the Home page","Tests","Fri May 30 14:02:20 UTC 2025","passed","Fri May 30 14:02:20 UTC 2025","TestLogin","test_2_Logout","",""
"","377","User is navigated to the Login page","Tests","Fri May 30 14:01:52 UTC 2025","passed","Fri May 30 14:01:52 UTC 2025","TestLogin","test_1_Login","",""
"","1192","User is navigated to the Login page","Tests","Fri May 30 14:02:16 UTC 2025","passed","Fri May 30 14:02:17 UTC 2025","TestLogin","test_1_Login","",""
"","277","Successful login","Tests","Fri May 30 14:01:54 UTC 2025","passed","Fri May 30 14:01:54 UTC 2025","TestLogin","test_1_Login","",""
