"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 09:14:19 GMT 2025","passed","Fri May 30 09:14:20 GMT 2025","TestLogin","test_1_Login","",""
"","334","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 09:14:24 GMT 2025","passed","Fri May 30 09:14:24 GMT 2025","TestLogin","test_1_Login","",""
"","242","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 09:14:19 GMT 2025","passed","Fri May 30 09:14:19 GMT 2025","TestLogin","test_1_Login","",""
"","580","User is navigated to the Login page","Tests","Fri May 30 09:14:18 GMT 2025","passed","Fri May 30 09:14:18 GMT 2025","TestLogin","test_1_Login","",""
"","374","User is navigated to the Home page","Tests","Fri May 30 09:14:21 GMT 2025","passed","Fri May 30 09:14:21 GMT 2025","TestLogin","test_2_Logout","",""
"","287","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:14:24 GMT 2025","passed","Fri May 30 09:14:25 GMT 2025","TestLogin","test_1_Login","",""
"","226","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:14:19 GMT 2025","passed","Fri May 30 09:14:19 GMT 2025","TestLogin","test_1_Login","",""
"","626","User is navigated to the Login page","Tests","Fri May 30 09:14:23 GMT 2025","passed","Fri May 30 09:14:24 GMT 2025","TestLogin","test_1_Login","",""
"","580","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:14:18 GMT 2025","passed","Fri May 30 09:14:19 GMT 2025","TestLogin","test_1_Login","",""
"","322","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 09:14:25 GMT 2025","passed","Fri May 30 09:14:25 GMT 2025","TestLogin","test_1_Login","",""
"","493","User is navigated to the Home page","Tests","Fri May 30 09:14:26 GMT 2025","passed","Fri May 30 09:14:26 GMT 2025","TestLogin","test_2_Logout","",""
"","459","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:14:24 GMT 2025","passed","Fri May 30 09:14:24 GMT 2025","TestLogin","test_1_Login","",""
"","405","Successful login","Tests","Fri May 30 09:14:20 GMT 2025","passed","Fri May 30 09:14:20 GMT 2025","TestLogin","test_1_Login","",""
"","172","User is successfully logged out","Tests","Fri May 30 09:14:21 GMT 2025","passed","Fri May 30 09:14:21 GMT 2025","TestLogin","test_2_Logout","",""
"","316","Successful login","Tests","Fri May 30 09:14:25 GMT 2025","passed","Fri May 30 09:14:25 GMT 2025","TestLogin","test_1_Login","",""
"","154","User is successfully logged out","Tests","Fri May 30 09:14:26 GMT 2025","passed","Fri May 30 09:14:27 GMT 2025","TestLogin","test_2_Logout","",""
