"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","755","User is navigated to the Login page","Tests","Fri May 30 10:26:04 GMT 2025","passed","Fri May 30 10:26:05 GMT 2025","TestLogin","test_1_Login","",""
"","280","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 10:26:06 GMT 2025","passed","Fri May 30 10:26:06 GMT 2025","TestLogin","test_1_Login","",""
"","234","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 10:25:53 GMT 2025","passed","Fri May 30 10:25:53 GMT 2025","TestLogin","test_1_Login","",""
"","231","User is navigated to the Login page","Tests","Fri May 30 10:25:52 GMT 2025","passed","Fri May 30 10:25:52 GMT 2025","TestLogin","test_1_Login","",""
"","154","User is successfully logged out","Tests","Fri May 30 10:26:07 GMT 2025","passed","Fri May 30 10:26:08 GMT 2025","TestLogin","test_2_Logout","",""
"","286","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:26:05 GMT 2025","passed","Fri May 30 10:26:06 GMT 2025","TestLogin","test_1_Login","",""
"","245","Successful login","Tests","Fri May 30 10:25:53 GMT 2025","passed","Fri May 30 10:25:54 GMT 2025","TestLogin","test_1_Login","",""
"","424","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:26:05 GMT 2025","passed","Fri May 30 10:26:05 GMT 2025","TestLogin","test_1_Login","",""
"","135","User is successfully logged out","Tests","Fri May 30 10:25:55 GMT 2025","passed","Fri May 30 10:25:55 GMT 2025","TestLogin","test_2_Logout","",""
"","347","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:25:52 GMT 2025","passed","Fri May 30 10:25:53 GMT 2025","TestLogin","test_1_Login","",""
"","493","User is navigated to the Home page","Tests","Fri May 30 10:26:07 GMT 2025","passed","Fri May 30 10:26:07 GMT 2025","TestLogin","test_2_Logout","",""
"","289","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 10:26:05 GMT 2025","passed","Fri May 30 10:26:05 GMT 2025","TestLogin","test_1_Login","",""
"","243","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 10:25:53 GMT 2025","passed","Fri May 30 10:25:53 GMT 2025","TestLogin","test_1_Login","",""
"","306","Successful login","Tests","Fri May 30 10:26:06 GMT 2025","passed","Fri May 30 10:26:06 GMT 2025","TestLogin","test_1_Login","",""
"","409","User is navigated to the Home page","Tests","Fri May 30 10:25:54 GMT 2025","passed","Fri May 30 10:25:55 GMT 2025","TestLogin","test_2_Logout","",""
"","240","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 10:25:53 GMT 2025","passed","Fri May 30 10:25:53 GMT 2025","TestLogin","test_1_Login","",""
