"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","437","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 09:06:42 GMT 2025","passed","Fri May 30 09:06:43 GMT 2025","TestLogin","test_1_Login","",""
"","327","Successful login","Tests","Fri May 30 09:06:42 GMT 2025","passed","Fri May 30 09:06:43 GMT 2025","TestLogin","test_1_Login","",""
"","387","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 09:06:41 GMT 2025","passed","Fri May 30 09:06:42 GMT 2025","TestLogin","test_1_Login","",""
"","783","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:06:41 GMT 2025","passed","Fri May 30 09:06:41 GMT 2025","TestLogin","test_1_Login","",""
"","557","User is navigated to the Home page","Tests","Fri May 30 09:06:43 GMT 2025","broken","Fri May 30 09:06:44 GMT 2025","TestLogin","test_2_Logout","",""
"","1353","User is navigated to the Login page","Tests","Fri May 30 09:06:39 GMT 2025","passed","Fri May 30 09:06:41 GMT 2025","TestLogin","test_1_Login","",""
"","1191","User is navigated to the Login page","Tests","Fri May 30 09:06:39 GMT 2025","passed","Fri May 30 09:06:41 GMT 2025","TestLogin","test_1_Login","",""
"","284","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:06:42 GMT 2025","passed","Fri May 30 09:06:42 GMT 2025","TestLogin","test_1_Login","",""
"","620","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:06:41 GMT 2025","passed","Fri May 30 09:06:41 GMT 2025","TestLogin","test_1_Login","",""
"","388","Unsuccessfully login with email: {email} and password: SuperSecretPassword!","Tests","Fri May 30 09:06:42 GMT 2025","passed","Fri May 30 09:06:42 GMT 2025","TestLogin","test_1_Login","",""
"","226","User is successfully logged out","Tests","Fri May 30 09:06:45 GMT 2025","passed","Fri May 30 09:06:45 GMT 2025","TestLogin","test_2_Logout","",""
"","0","User is successfully logged out","Tests","Fri May 30 09:06:44 GMT 2025","skipped","Fri May 30 09:06:44 GMT 2025","TestLogin","test_2_Logout","",""
"","280","Unsuccessfully login with email: {email} and password: ","Tests","Fri May 30 09:06:42 GMT 2025","passed","Fri May 30 09:06:42 GMT 2025","TestLogin","test_1_Login","",""
"","423","Successful login","Tests","Fri May 30 09:06:43 GMT 2025","passed","Fri May 30 09:06:43 GMT 2025","TestLogin","test_1_Login","",""
"","891","User is navigated to the Home page","Tests","Fri May 30 09:06:44 GMT 2025","passed","Fri May 30 09:06:45 GMT 2025","TestLogin","test_2_Logout","",""
"","333","Unsuccessfully login with email: {email} and password: SuperSecretPassword","Tests","Fri May 30 09:06:41 GMT 2025","passed","Fri May 30 09:06:42 GMT 2025","TestLogin","test_1_Login","",""
